# iteration  l2_NN  l2_FF  l2_mFF
2.580000e+04 1.820270e+00 3.748696e-01 1.973976e-03
2.590000e+04 1.869881e+00 3.744669e-01 2.499352e-03
2.600000e+04 1.931674e+00 3.741003e-01 1.000923e-03
2.610000e+04 1.939821e+00 3.739443e-01 6.367611e-03
2.620000e+04 1.941590e+00 3.737204e-01 1.609849e-03
2.630000e+04 1.927919e+00 3.733708e-01 4.522670e-03
2.640000e+04 1.955654e+00 3.728955e-01 4.587202e-03
2.650000e+04 1.973797e+00 3.726433e-01 8.950486e-03
2.660000e+04 1.981075e+00 3.725447e-01 3.709642e-03
2.670000e+04 1.983183e+00 3.720662e-01 3.521683e-03
2.680000e+04 1.963967e+00 3.715356e-01 2.656140e-03
2.690000e+04 2.046088e+00 3.715216e-01 4.421339e-03
2.700000e+04 2.023267e+00 3.712335e-01 3.851032e-03
2.710000e+04 1.995884e+00 3.708247e-01 3.873466e-03
2.720000e+04 1.916921e+00 3.705251e-01 3.278364e-03
2.730000e+04 1.881272e+00 3.703162e-01 2.098897e-03
2.740000e+04 1.915212e+00 3.702346e-01 1.164834e-03
2.750000e+04 1.961338e+00 3.699300e-01 2.580682e-03
2.760000e+04 1.938062e+00 3.697102e-01 2.312118e-03
2.770000e+04 1.948068e+00 3.692017e-01 4.646255e-03
2.780000e+04 2.011615e+00 3.690259e-01 4.693330e-03
2.790000e+04 1.973109e+00 3.688085e-01 2.883415e-03
2.800000e+04 1.982133e+00 3.683265e-01 1.697525e-03
2.810000e+04 2.011543e+00 3.678706e-01 1.134756e-03
2.820000e+04 2.044989e+00 3.676815e-01 3.785270e-03
2.830000e+04 2.041918e+00 3.677996e-01 4.461008e-03
2.840000e+04 2.021018e+00 3.673700e-01 2.081198e-03
2.850000e+04 2.040037e+00 3.671971e-01 4.090716e-03
2.860000e+04 2.072007e+00 3.668940e-01 2.288339e-03
2.870000e+04 2.103261e+00 3.663801e-01 3.405097e-03
2.880000e+04 2.133007e+00 3.663011e-01 2.562898e-03
2.890000e+04 2.124547e+00 3.658396e-01 2.654304e-03
2.900000e+04 2.106574e+00 3.656131e-01 2.930067e-03
