# iter	loss_total	loss_res	loss_ics	loss_bcs	l2_u	lambda_ics	lambda_bcs
1.60000000e+04	3.64179552e-01	3.23498189e-01	6.49928988e-04	5.66083618e-05	2.08667144e-02	4.11004028e+01	2.62849976e+02
1.61000000e+04	1.45543015e+00	1.30396986e+00	1.75840245e-03	1.59986885e-04	1.56573001e-02	7.27934875e+01	2.93233093e+02
1.62000000e+04	1.01153970e+00	4.46201563e-01	1.25574376e-02	4.85217679e-05	1.27448561e-02	4.10473862e+01	3.08041931e+02
1.63000000e+04	5.97193658e-01	3.81822646e-01	3.26121855e-03	5.98128572e-05	1.10075986e-02	5.45009079e+01	3.22370789e+02
1.64000000e+04	2.35682651e-01	2.02431589e-01	7.07348576e-04	4.24890204e-05	1.17190592e-02	3.35722275e+01	2.46104324e+02
1.65000000e+04	2.34158218e-01	2.01115489e-01	6.85396430e-04	3.92049333e-05	1.42927645e-02	3.33735886e+01	2.50865051e+02
1.66000000e+04	2.94987679e-01	2.63864219e-01	6.70489855e-04	3.40690640e-05	1.65151879e-02	3.18290043e+01	2.35010101e+02
1.67000000e+04	1.62993550e-01	1.24670580e-01	9.13061260e-04	3.71211318e-05	1.23620173e-02	3.34713173e+01	2.31549835e+02
1.68000000e+04	4.66846704e-01	3.68123084e-01	2.85079540e-03	4.58688373e-05	1.80752147e-02	3.48083916e+01	2.46989578e+02
1.69000000e+04	7.61235714e+00	7.00876284e+00	2.82683433e-03	4.33551992e-04	6.18060753e-02	1.41208862e+02	3.42514832e+02
1.70000000e+04	1.58435321e+00	1.50220633e+00	8.24675080e-04	6.56963166e-05	2.77842674e-02	9.18580856e+01	2.82731506e+02
1.71000000e+04	6.85397327e-01	6.40030265e-01	7.20086740e-04	3.18945094e-05	2.74573714e-02	4.89576797e+01	2.57273041e+02
1.72000000e+04	4.19807971e-01	3.81788075e-01	7.81833951e-04	3.25278343e-05	2.26234198e-02	3.78570938e+01	2.18448395e+02
1.73000000e+04	3.61636013e-01	3.25667500e-01	6.39516977e-04	3.96073519e-05	2.20395755e-02	4.03380051e+01	1.98734268e+02
1.74000000e+04	2.75383145e-01	2.22940147e-01	7.55096844e-04	3.20919462e-05	2.37546917e-02	6.59702606e+01	2.32204941e+02
1.75000000e+04	2.27061301e-01	1.87335387e-01	6.07700495e-04	2.42609240e-05	1.87547095e-02	6.13067322e+01	3.19518280e+02
1.76000000e+04	2.25560158e-01	1.78551972e-01	7.84081814e-04	2.76705669e-05	1.74123384e-02	5.36388855e+01	2.20250870e+02
1.77000000e+04	2.26026967e-01	1.64999500e-01	6.57270895e-04	4.24894533e-05	1.42669417e-02	8.42007294e+01	2.69768463e+02
1.78000000e+04	2.85458595e-01	2.44438991e-01	6.15963712e-04	2.82128603e-05	1.87391043e-02	5.98026733e+01	2.01170685e+02
1.79000000e+04	3.25380623e-01	2.86727458e-01	6.87362219e-04	2.17521410e-05	1.77709758e-02	5.42149696e+01	2.90971527e+02
1.80000000e+04	2.26656392e-01	1.76175460e-01	6.37214282e-04	1.85517565e-05	1.63399521e-02	6.64096222e+01	2.67884491e+02
