# iteration  lambda_u  lambda_ut  lambda_r
3.820000e+04 3.723155e+08 1.395507e+07 1.000000e+00
3.830000e+04 3.608482e+08 1.448362e+07 1.000000e+00
3.840000e+04 3.826163e+08 1.490248e+07 1.000000e+00
3.850000e+04 3.724777e+08 1.464217e+07 1.000000e+00
3.860000e+04 3.714757e+08 1.454941e+07 1.000000e+00
3.870000e+04 3.694198e+08 1.449043e+07 1.000000e+00
3.880000e+04 3.643691e+08 1.439588e+07 1.000000e+00
3.890000e+04 3.725844e+08 1.516511e+07 1.000000e+00
3.900000e+04 3.657539e+08 1.356345e+07 1.000000e+00
3.910000e+04 3.680295e+08 1.539386e+07 1.000000e+00
3.920000e+04 3.692435e+08 1.470593e+07 1.000000e+00
3.930000e+04 3.787540e+08 1.451429e+07 1.000000e+00
3.940000e+04 3.641400e+08 1.471717e+07 1.000000e+00
3.950000e+04 3.801526e+08 1.407109e+07 1.000000e+00
3.960000e+04 3.656927e+08 1.358134e+07 1.000000e+00
3.970000e+04 3.790343e+08 1.538620e+07 1.000000e+00
3.980000e+04 3.666415e+08 1.497169e+07 1.000000e+00
3.990000e+04 3.756348e+08 1.441022e+07 1.000000e+00
