# iteration  l2_Plain_fixed  l2_Plain_adapt  l2_MFF_fixed  l2_MFF_adapt  l2_ST_MFF_fixed  l2_ST_MFF_adapt
1.570000e+04 1.020318e+00 8.443996e-01 1.039937e+00 1.026497e+00 1.031676e+00 5.061359e-02
1.580000e+04 1.019290e+00 8.446545e-01 1.041937e+00 1.025823e+00 1.033445e+00 4.453795e-02
1.590000e+04 1.020911e+00 8.445522e-01 1.038510e+00 1.025357e+00 1.032280e+00 4.123827e-02
1.600000e+04 1.019665e+00 8.443426e-01 1.040887e+00 1.025591e+00 1.033528e+00 3.816529e-02
1.610000e+04 1.022803e+00 8.438924e-01 1.039786e+00 1.025456e+00 1.031755e+00 3.658594e-02
1.620000e+04 1.019781e+00 8.452756e-01 1.044236e+00 1.025129e+00 1.033189e+00 3.589370e-02
1.630000e+04 1.025250e+00 8.441911e-01 1.042754e+00 1.024648e+00 1.030494e+00 3.368104e-02
1.640000e+04 1.018824e+00 8.435162e-01 1.040625e+00 1.024305e+00 1.032486e+00 3.287799e-02
1.650000e+04 1.020070e+00 8.434620e-01 1.041748e+00 1.023636e+00 1.033144e+00 3.115147e-02
1.660000e+04 1.018409e+00 8.433893e-01 1.038102e+00 1.023966e+00 1.032508e+00 3.456569e-02
1.670000e+04 1.020260e+00 8.441169e-01 1.041327e+00 1.023563e+00 1.032233e+00 3.217716e-02
1.680000e+04 1.017338e+00 8.429119e-01 1.039393e+00 1.023404e+00 1.029952e+00 2.965319e-02
1.690000e+04 1.019566e+00 8.432006e-01 1.039453e+00 1.023072e+00 1.030760e+00 2.777575e-02
1.700000e+04 1.019394e+00 8.424413e-01 1.038938e+00 1.022811e+00 1.029286e+00 2.840969e-02
1.710000e+04 1.017865e+00 8.428828e-01 1.038635e+00 1.022848e+00 1.029169e+00 2.840404e-02
1.720000e+04 1.020127e+00 8.435370e-01 1.040864e+00 1.022569e+00 1.028763e+00 2.696619e-02
1.730000e+04 1.020395e+00 8.420961e-01 1.040446e+00 1.022258e+00 1.030513e+00 2.576898e-02
1.740000e+04 1.019907e+00 8.415130e-01 1.041478e+00 1.022063e+00 1.030180e+00 2.738596e-02
1.750000e+04 1.017846e+00 8.421206e-01 1.041702e+00 1.021527e+00 1.028920e+00 2.627058e-02
1.760000e+04 1.021084e+00 8.417378e-01 1.037941e+00 1.021524e+00 1.029562e+00 2.464780e-02
1.770000e+04 1.018358e+00 8.415218e-01 1.040960e+00 1.021367e+00 1.029157e+00 2.477779e-02
1.780000e+04 1.016801e+00 8.419645e-01 1.040553e+00 1.021007e+00 1.027168e+00 3.148564e-02
1.790000e+04 1.017137e+00 8.410621e-01 1.039967e+00 1.020822e+00 1.029157e+00 2.783590e-02
1.800000e+04 1.017870e+00 8.410728e-01 1.040399e+00 1.020542e+00 1.028278e+00 2.547376e-02
1.810000e+04 1.016665e+00 8.414560e-01 1.039065e+00 1.020473e+00 1.027406e+00 2.382047e-02
1.820000e+04 1.018212e+00 8.411869e-01 1.042643e+00 1.020024e+00 1.028210e+00 2.328347e-02
1.830000e+04 1.018621e+00 8.406730e-01 1.040962e+00 1.019696e+00 1.027698e+00 2.172458e-02
1.840000e+04 1.017757e+00 8.415235e-01 1.043251e+00 1.019842e+00 1.027052e+00 2.106661e-02
1.850000e+04 1.017404e+00 8.411761e-01 1.041981e+00 1.019801e+00 1.027102e+00 1.999712e-02
1.860000e+04 1.016937e+00 8.405028e-01 1.039433e+00 1.019300e+00 1.026041e+00 2.029778e-02
1.870000e+04 1.017647e+00 8.402417e-01 1.042806e+00 1.019198e+00 1.027423e+00 2.011853e-02
1.880000e+04 1.016389e+00 8.403206e-01 1.038913e+00 1.018921e+00 1.024204e+00 1.927180e-02
1.890000e+04 1.015282e+00 8.394296e-01 1.041758e+00 1.018787e+00 1.026712e+00 1.950806e-02
1.900000e+04 1.016382e+00 8.397395e-01 1.040142e+00 1.018578e+00 1.024748e+00 2.053093e-02
1.910000e+04 1.017247e+00 8.397396e-01 1.041857e+00 1.018589e+00 1.027962e+00 1.906042e-02
1.920000e+04 1.017131e+00 8.387871e-01 1.043251e+00 1.018313e+00 1.025141e+00 1.822888e-02
1.930000e+04 1.018496e+00 8.390093e-01 1.041173e+00 1.017622e+00 1.025821e+00 1.878615e-02
1.940000e+04 1.016459e+00 8.385589e-01 1.041150e+00 1.017789e+00 1.025067e+00 1.964584e-02
1.950000e+04 1.016902e+00 8.386429e-01 1.041856e+00 1.017576e+00 1.025858e+00 1.868969e-02
1.960000e+04 1.016434e+00 8.394331e-01 1.041132e+00 1.017521e+00 1.024982e+00 1.962619e-02
1.970000e+04 1.015814e+00 8.380482e-01 1.041119e+00 1.017139e+00 1.023674e+00 1.753752e-02
1.980000e+04 1.016351e+00 8.385482e-01 1.042355e+00 1.016628e+00 1.025106e+00 1.829362e-02
1.990000e+04 1.016289e+00 8.379519e-01 1.039975e+00 1.016487e+00 1.024849e+00 1.720980e-02
2.000000e+04 1.016550e+00 8.378392e-01 1.040617e+00 1.016394e+00 1.024525e+00 1.598046e-02
2.010000e+04 1.015978e+00 8.368960e-01 1.040700e+00 1.016459e+00 1.024361e+00 1.591217e-02
2.020000e+04 1.017004e+00 8.366086e-01 1.039789e+00 1.016169e+00 1.022283e+00 1.470459e-02
2.030000e+04 1.016937e+00 8.366809e-01 1.040638e+00 1.016043e+00 1.025968e+00 1.487696e-02
2.040000e+04 1.015446e+00 8.356516e-01 1.041504e+00 1.015834e+00 1.022971e+00 1.688230e-02
2.050000e+04 1.015472e+00 8.360800e-01 1.042033e+00 1.015603e+00 1.023278e+00 1.526031e-02
2.060000e+04 1.015828e+00 8.360769e-01 1.040972e+00 1.015256e+00 1.024288e+00 1.390767e-02
2.070000e+04 1.015164e+00 8.356064e-01 1.041314e+00 1.015325e+00 1.022917e+00 1.349788e-02
2.080000e+04 1.015805e+00 8.356577e-01 1.039556e+00 1.014970e+00 1.023290e+00 1.263822e-02
2.090000e+04 1.016991e+00 8.355312e-01 1.040082e+00 1.014678e+00 1.024473e+00 1.439732e-02
2.100000e+04 1.014685e+00 8.353451e-01 1.040065e+00 1.014719e+00 1.025103e+00 1.285240e-02
2.110000e+04 1.015363e+00 8.354643e-01 1.039518e+00 1.013979e+00 1.024527e+00 1.359797e-02
2.120000e+04 1.014934e+00 8.348156e-01 1.040692e+00 1.014482e+00 1.023210e+00 1.345268e-02
2.130000e+04 1.014925e+00 8.345297e-01 1.040293e+00 1.014331e+00 1.024352e+00 1.290174e-02
2.140000e+04 1.016478e+00 8.341715e-01 1.040227e+00 1.014123e+00 1.025264e+00 1.239033e-02
2.150000e+04 1.017649e+00 8.339703e-01 1.040485e+00 1.013898e+00 1.025558e+00 1.164633e-02
2.160000e+04 1.014969e+00 8.332701e-01 1.040450e+00 1.013614e+00 1.023599e+00 1.181199e-02
2.170000e+04 1.013995e+00 8.332591e-01 1.042253e+00 1.013531e+00 1.024110e+00 1.212026e-02
2.180000e+04 1.014847e+00 8.330492e-01 1.040205e+00 1.013267e+00 1.024916e+00 1.163665e-02
2.190000e+04 1.015793e+00 8.329026e-01 1.040789e+00 1.013091e+00 1.024422e+00 1.095422e-02
2.200000e+04 1.016407e+00 8.326658e-01 1.039484e+00 1.013094e+00 1.025138e+00 1.121768e-02
2.210000e+04 1.014268e+00 8.319033e-01 1.039328e+00 1.012940e+00 1.024058e+00 1.140195e-02
2.220000e+04 1.014384e+00 8.324934e-01 1.039505e+00 1.012859e+00 1.024992e+00 1.110202e-02
2.230000e+04 1.014583e+00 8.319306e-01 1.039434e+00 1.012746e+00 1.025851e+00 1.092593e-02
2.240000e+04 1.013200e+00 8.312176e-01 1.040555e+00 1.012562e+00 1.024593e+00 1.469436e-02
2.250000e+04 1.014660e+00 8.308123e-01 1.039947e+00 1.012456e+00 1.025535e+00 1.273328e-02
2.260000e+04 1.014452e+00 8.307025e-01 1.041807e+00 1.012105e+00 1.025153e+00 1.213370e-02
2.270000e+04 1.014628e+00 8.299670e-01 1.041530e+00 1.011952e+00 1.025437e+00 1.159999e-02
2.280000e+04 1.015135e+00 8.301023e-01 1.041571e+00 1.011981e+00 1.025368e+00 1.078997e-02
