# iteration  loss_res  loss_bcs  loss_ut  l2_error  lambda_u  lambda_ut  lambda_r
1.210000e+04 2.068155e-01 1.654583e-04 2.242557e-03 1.602364e-02 6.166909e+03 3.079613e+01 1.033735e+00
1.220000e+04 2.258430e-01 9.611761e-05 2.700038e-02 1.569481e-02 6.383319e+03 3.087067e+01 1.033645e+00
1.230000e+04 2.511467e-01 9.891731e-05 3.189928e-03 1.763743e-02 6.277377e+03 3.188482e+01 1.032548e+00
1.240000e+04 1.822821e-01 5.246489e-05 1.531554e-03 1.489204e-02 5.917800e+03 2.927833e+01 1.035544e+00
1.250000e+04 1.422916e-01 9.842784e-05 1.440817e-03 1.339098e-02 5.903922e+03 2.929074e+01 1.035529e+00
1.260000e+04 1.390086e-01 1.152015e-04 1.258115e-02 1.436975e-02 6.226378e+03 3.167354e+01 1.032773e+00
1.270000e+04 2.665764e-01 6.953402e-05 2.850647e-03 1.426836e-02 6.132791e+03 2.866242e+01 1.036325e+00
1.280000e+04 1.408017e-01 5.485631e-05 2.959777e-03 1.442631e-02 6.247329e+03 3.137941e+01 1.033088e+00
1.290000e+04 3.154395e-01 8.478521e-05 7.733361e-03 1.451906e-02 6.253955e+03 3.169907e+01 1.032745e+00
1.300000e+04 2.882791e-01 5.763810e-05 4.353995e-03 1.447123e-02 5.957734e+03 3.055145e+01 1.034019e+00
1.310000e+04 1.881282e-01 6.466061e-05 2.074688e-03 1.405402e-02 5.941622e+03 3.078336e+01 1.033756e+00
1.320000e+04 3.106412e-01 1.350656e-04 1.452403e-02 1.369939e-02 6.300138e+03 3.174638e+01 1.032694e+00
1.330000e+04 5.005004e-01 2.004942e-04 3.494246e-02 1.571473e-02 6.192620e+03 3.270226e+01 1.031715e+00
1.340000e+04 2.298946e-01 8.141137e-05 2.892398e-03 1.481684e-02 6.119050e+03 3.114803e+01 1.033344e+00
1.350000e+04 2.012117e-01 6.556100e-05 1.464317e-03 1.363420e-02 6.294810e+03 3.476837e+01 1.029782e+00
1.360000e+04 1.730478e-01 5.597640e-05 2.822467e-02 1.436126e-02 5.944527e+03 3.001481e+01 1.034645e+00
1.370000e+04 2.795778e-01 9.260820e-05 3.659039e-04 1.363104e-02 6.066788e+03 3.056511e+01 1.034000e+00
1.380000e+04 1.687481e-01 5.911028e-05 7.803302e-04 1.401966e-02 6.107568e+03 3.015970e+01 1.034469e+00
1.390000e+04 1.307366e-01 4.211487e-05 1.234049e-03 1.373362e-02 6.194110e+03 3.243801e+01 1.031981e+00
1.400000e+04 1.842322e-01 5.466391e-05 2.522300e-03 1.321460e-02 6.111819e+03 3.139640e+01 1.033073e+00
1.410000e+04 1.647278e-01 6.225359e-05 1.488184e-03 1.324728e-02 6.381057e+03 3.242641e+01 1.031987e+00
1.420000e+04 3.696270e-01 7.027568e-05 7.286138e-03 1.508976e-02 6.382995e+03 3.304451e+01 1.031373e+00
1.430000e+04 1.777773e-01 5.780054e-05 3.160280e-03 1.477541e-02 6.525595e+03 3.235416e+01 1.032057e+00
1.440000e+04 3.722244e-01 6.437045e-05 2.181945e-03 1.379922e-02 5.914997e+03 3.098820e+01 1.033527e+00
1.450000e+04 1.330497e-01 5.444639e-05 8.646114e-04 1.213753e-02 6.158218e+03 3.154929e+01 1.032907e+00
1.460000e+04 1.172827e-01 5.209346e-05 6.711106e-03 1.271294e-02 5.973472e+03 2.979380e+01 1.034909e+00
1.470000e+04 1.349356e-01 8.171601e-05 6.197508e-04 1.423354e-02 6.231029e+03 2.901570e+01 1.035866e+00
1.480000e+04 3.551340e-01 4.122566e-05 3.340856e-03 1.423892e-02 6.423831e+03 3.161929e+01 1.032825e+00
1.490000e+04 2.095706e-01 6.252122e-05 9.403293e-04 1.246188e-02 6.515467e+03 3.123388e+01 1.033239e+00
1.500000e+04 1.062383e-01 6.534888e-05 3.167817e-03 1.189695e-02 6.278586e+03 3.042846e+01 1.034151e+00
1.510000e+04 1.513216e-01 4.228786e-05 1.388374e-03 1.136576e-02 6.214610e+03 3.177105e+01 1.032670e+00
1.520000e+04 1.733069e-01 8.000125e-05 6.129685e-03 1.192211e-02 6.029353e+03 2.975041e+01 1.034960e+00
1.530000e+04 2.270343e-01 4.741468e-05 7.055129e-03 1.265086e-02 6.165138e+03 3.214119e+01 1.032285e+00
1.540000e+04 1.473906e-01 4.293745e-05 1.135792e-03 1.129475e-02 6.336053e+03 3.179026e+01 1.032646e+00
1.550000e+04 1.166417e-01 5.866575e-05 7.528237e-04 1.202776e-02 6.408137e+03 3.082670e+01 1.033694e+00
1.560000e+04 9.852175e-02 3.937853e-05 2.749960e-04 1.119919e-02 6.205489e+03 3.166497e+01 1.032782e+00
1.570000e+04 1.468033e-01 5.007111e-05 1.587176e-03 1.241436e-02 6.697531e+03 3.092484e+01 1.033576e+00
1.580000e+04 1.523101e-01 3.868402e-05 9.342449e-04 1.302888e-02 6.369010e+03 3.213881e+01 1.032282e+00
1.590000e+04 1.393428e-01 3.200014e-05 9.258888e-04 1.290043e-02 6.439958e+03 3.272978e+01 1.031681e+00
1.600000e+04 1.175918e-01 3.624494e-05 4.233900e-03 1.056492e-02 5.769816e+03 2.993393e+01 1.034747e+00
1.610000e+04 1.283394e-01 6.129534e-05 3.640617e-03 1.146689e-02 6.500380e+03 3.132140e+01 1.033144e+00
1.620000e+04 1.262644e-01 2.966341e-05 1.945783e-03 1.124282e-02 6.149644e+03 3.156343e+01 1.032892e+00
1.630000e+04 1.096703e-01 3.720385e-05 5.247910e-04 1.084903e-02 6.010486e+03 3.077237e+01 1.033766e+00
1.640000e+04 1.075295e-01 5.476448e-05 2.073964e-03 1.051745e-02 6.194005e+03 3.374730e+01 1.030708e+00
1.650000e+04 1.596399e-01 4.565017e-05 2.201668e-03 1.299027e-02 6.335714e+03 3.099880e+01 1.033503e+00
1.660000e+04 3.012977e-01 7.683200e-05 1.482953e-02 1.378692e-02 6.074287e+03 3.120648e+01 1.033281e+00
1.670000e+04 1.439530e-01 5.729434e-05 2.365653e-03 1.086747e-02 6.453179e+03 3.306195e+01 1.031354e+00
1.680000e+04 2.031823e-01 6.357240e-05 1.078073e-03 1.178841e-02 6.291430e+03 3.425156e+01 1.030242e+00
1.690000e+04 1.099604e-01 6.589618e-05 2.041404e-03 1.258137e-02 6.123116e+03 3.039970e+01 1.034189e+00
1.700000e+04 1.240011e-01 4.923363e-05 3.657905e-03 1.188050e-02 6.279102e+03 3.279631e+01 1.031620e+00
1.710000e+04 1.913505e-01 4.085834e-05 6.189117e-04 1.203463e-02 6.410806e+03 3.274535e+01 1.031667e+00
1.720000e+04 1.163695e-01 4.141584e-05 3.382068e-03 1.158643e-02 6.517604e+03 3.348858e+01 1.030943e+00
1.730000e+04 1.399295e-01 4.028816e-05 5.336278e-04 1.185188e-02 6.385771e+03 3.348885e+01 1.030946e+00
1.740000e+04 1.231687e-01 1.738490e-05 5.566507e-04 1.101804e-02 6.140043e+03 3.290435e+01 1.031517e+00
1.750000e+04 1.245422e-01 5.158745e-05 4.236680e-03 1.202326e-02 5.889958e+03 2.851032e+01 1.036532e+00
1.760000e+04 1.443269e-01 7.352531e-05 1.819117e-03 1.271362e-02 5.801220e+03 3.106420e+01 1.033446e+00
1.770000e+04 8.712777e-02 6.597076e-05 2.749526e-04 1.056209e-02 5.957616e+03 3.037955e+01 1.034217e+00
1.780000e+04 9.843223e-02 2.445105e-05 4.356661e-04 1.038727e-02 5.933162e+03 3.033527e+01 1.034269e+00
1.790000e+04 1.428404e-01 3.583956e-05 9.958223e-04 1.036639e-02 6.488023e+03 3.280656e+01 1.031604e+00
1.800000e+04 2.116207e-01 7.680176e-05 3.569019e-03 1.401698e-02 6.010322e+03 2.989747e+01 1.034783e+00
1.810000e+04 7.106369e-02 3.357046e-05 2.980027e-04 1.027089e-02 6.184178e+03 3.201695e+01 1.032413e+00
