# iteration  lambda_u  lambda_ut  lambda_r
3.000000e+04 5.725104e+03 2.798117e+01 1.037251e+00
3.010000e+04 5.951334e+03 2.931950e+01 1.035491e+00
3.020000e+04 6.593209e+03 3.389291e+01 1.030563e+00
3.030000e+04 6.440248e+03 3.309554e+01 1.031322e+00
3.040000e+04 6.016173e+03 3.326278e+01 1.031172e+00
3.050000e+04 6.186701e+03 3.116873e+01 1.033319e+00
3.060000e+04 5.940207e+03 2.993003e+01 1.034746e+00
3.070000e+04 6.404372e+03 3.177947e+01 1.032656e+00
3.080000e+04 5.979646e+03 2.928079e+01 1.035539e+00
3.090000e+04 6.459715e+03 3.159918e+01 1.032846e+00
3.100000e+04 6.229616e+03 2.960076e+01 1.035136e+00
3.110000e+04 6.139340e+03 2.912732e+01 1.035727e+00
3.120000e+04 5.948618e+03 3.165666e+01 1.032799e+00
3.130000e+04 6.141227e+03 2.956029e+01 1.035188e+00
3.140000e+04 5.685411e+03 2.892240e+01 1.036002e+00
3.150000e+04 6.309457e+03 3.241471e+01 1.032001e+00
3.160000e+04 6.169623e+03 3.138187e+01 1.033087e+00
3.170000e+04 6.610676e+03 3.381936e+01 1.030630e+00
3.180000e+04 6.647833e+03 3.384676e+01 1.030604e+00
3.190000e+04 5.915023e+03 3.000311e+01 1.034660e+00
3.200000e+04 6.594088e+03 3.269681e+01 1.031710e+00
3.210000e+04 6.083954e+03 2.912946e+01 1.035726e+00
3.220000e+04 6.114879e+03 3.278526e+01 1.031635e+00
3.230000e+04 6.254922e+03 2.867412e+01 1.036307e+00
3.240000e+04 6.297901e+03 3.110446e+01 1.033387e+00
3.250000e+04 6.063476e+03 3.123934e+01 1.033246e+00
3.260000e+04 6.199851e+03 3.106912e+01 1.033429e+00
3.270000e+04 5.813135e+03 2.675683e+01 1.039010e+00
3.280000e+04 6.612849e+03 3.229580e+01 1.032114e+00
3.290000e+04 6.344087e+03 3.152574e+01 1.032927e+00
3.300000e+04 6.064163e+03 2.985739e+01 1.034830e+00
3.310000e+04 6.338894e+03 3.075376e+01 1.033778e+00
3.320000e+04 6.329228e+03 3.123528e+01 1.033243e+00
3.330000e+04 6.004527e+03 3.260884e+01 1.031814e+00
3.340000e+04 6.194493e+03 3.138283e+01 1.033086e+00
3.350000e+04 6.226566e+03 2.945824e+01 1.035311e+00
3.360000e+04 6.436392e+03 3.359634e+01 1.030843e+00
3.370000e+04 6.061400e+03 2.764372e+01 1.037710e+00
3.380000e+04 6.278626e+03 3.047210e+01 1.034101e+00
3.390000e+04 5.943470e+03 2.998264e+01 1.034683e+00
3.400000e+04 6.397735e+03 3.255456e+01 1.031857e+00
3.410000e+04 6.133368e+03 3.094688e+01 1.033567e+00
3.420000e+04 6.083138e+03 3.085876e+01 1.033667e+00
3.430000e+04 6.342900e+03 3.127345e+01 1.033201e+00
3.440000e+04 6.533322e+03 3.118074e+01 1.033297e+00
3.450000e+04 6.048776e+03 3.050084e+01 1.034074e+00
3.460000e+04 6.398566e+03 3.109355e+01 1.033397e+00
3.470000e+04 6.242065e+03 3.362402e+01 1.030823e+00
3.480000e+04 6.376741e+03 3.320239e+01 1.031220e+00
3.490000e+04 5.946915e+03 2.986222e+01 1.034827e+00
3.500000e+04 5.834652e+03 2.789734e+01 1.037363e+00
3.510000e+04 6.332110e+03 3.153501e+01 1.032918e+00
3.520000e+04 6.244774e+03 3.125105e+01 1.033228e+00
3.530000e+04 6.424690e+03 3.319955e+01 1.031222e+00
3.540000e+04 6.476147e+03 3.315054e+01 1.031268e+00
3.550000e+04 6.193086e+03 3.116157e+01 1.033327e+00
3.560000e+04 6.281824e+03 3.063439e+01 1.033915e+00
3.570000e+04 6.390550e+03 3.151278e+01 1.032940e+00
3.580000e+04 6.526382e+03 3.066974e+01 1.033868e+00
3.590000e+04 6.388868e+03 3.130962e+01 1.033160e+00
