case,method,budget,n_seeds,target_params,matched_within_tol,total_params_mean,total_params_std,best_l2_mean,best_l2_std,final_l2_mean,final_l2_std,wall_clock_train_sec_mean,wall_clock_train_sec_std,ms_per_100_epoch_mean,ms_per_100_epoch_std,peak_gpu_mem_mb_mean,peak_gpu_mem_mb_std,inference_time_ms_mean,inference_time_ms_std,n_collocation_mean,n_collocation_std,best_l2_min
case8,FourierPINN,rich,3,,,82883.0,0.0,0.16531664451415254,0.010038951026552518,0.1703244089312008,0.013527916512277015,35.18075720469157,0.25309345974853303,351.8075720469157,2.53093459748533,328.389376,0.0,nan,nan,5000.0,0.0,0.15764281362644647
case8,PINN,matched,3,2688,True,2635.0,0.0,0.650613653687786,0.08159538164252136,0.650613653687786,0.08159538164252136,19.39313515027364,0.055765333924728246,193.93135150273642,0.5576533392472824,91.84384,0.0,nan,nan,5000.0,0.0,0.5374607662242376
case8,PINN,rich,3,,,50435.0,0.0,0.2396267649723729,0.03815618753474256,0.24002710974791186,0.03869243880394106,31.419289509455364,0.3007352470178837,314.19289509455365,3.007352470178837,273.03842133333336,0.0012067955732061508,nan,nan,5000.0,0.0,0.19899687401501354
case8,SIREN,matched,3,2688,True,2649.0,0.0,0.38068548530401203,0.12905949989824306,0.5298648148135339,0.21444776507031074,23.670442660649616,0.06809833906767909,236.70442660649618,0.6809833906767989,337.010432,0.0,nan,nan,5000.0,0.0,0.22098263462430653
case8,SIREN,rich,3,,,99395.0,0.0,0.16849801315540944,0.009957083319157711,0.18054535173102293,0.018889057458193,45.74245095252991,0.12085779075763228,457.4245095252991,1.2085779075763,399.936,0.0,nan,nan,5000.0,0.0,0.154671242619272
case8,SPINN,matched,3,2688,False,6096.0,0.0,0.22421570356057582,0.09947676278848204,0.23008375775118248,0.0996893576892867,67.65381280581157,0.5159247880264387,676.5381280581156,5.159247880264387,101.71110400000002,1.4210854715202004e-14,nan,nan,125000.0,0.0,0.13037439605717524
case8,SPINN,rich,3,,,136896.0,0.0,0.3109899242599223,0.032871823377971704,0.7040789826863039,0.013264272749492616,82.22192827860515,0.8943006996340002,822.2192827860514,8.94300699634,136.844544,0.0,nan,nan,125000.0,0.0,0.2671173225368024
case8,SVSNN,best,3,,,2688.0,0.0,0.009604673123698275,0.008665603131145382,0.01186711248615308,0.010018800008827062,33.610771894454956,0.9416826234830916,336.10771894454956,9.416826234830916,322.341376,0.0,nan,nan,125000.0,0.0,0.0013496064599291082
case9,FourierPINN,matched,3,407,True,395.0,0.0,1.0431487460931141,0.04019561370819616,1.1788119077682495,0.03232024252325944,16.14690963427226,0.901678863288691,107.64606422848173,6.011192421924609,150.52040533333334,48.7708328985302,nan,nan,5000.0,0.0,0.9990619719028473
case9,FourierPINN,rich,3,,,66435.0,0.0,0.008374895822877685,0.0002916879028443402,0.008696113092203936,0.00021237139069254281,91.59016489982605,1.1187615817832366,610.6010993321736,7.458410545221555,556.026624,6.662109268482045,nan,nan,5000.0,0.0,0.008050700416788459
case9,PINN,matched,3,407,True,393.0,0.0,0.031788233357171215,0.005934019617860665,0.04399340289334456,0.017037930356185477,22.597344716389973,0.36333058511710015,150.64896477593314,2.422203900780667,82.80473599999999,2.057646816014837,nan,nan,5000.0,0.0,0.02368611004203558
case9,PINN,rich,3,,,50307.0,0.0,0.010094448380793134,0.0008382641229241108,0.01699800541003545,0.0006408358927179733,80.3363851706187,0.313679382303983,535.575901137458,2.0911958820266006,598.5303893333333,18.54950998593748,nan,nan,5000.0,0.0,0.009039472555741668
case9,SIREN,matched,3,407,True,397.0,0.0,0.9186742206414541,0.019086015433526997,0.9840106964111328,0.06888831335557796,18.086515347162884,0.2047257338800197,120.57676898108589,1.3648382258667935,88.22357333333332,0.0004827182292904992,nan,nan,5000.0,0.0,0.9021978974342346
case9,SIREN,rich,3,,,82947.0,0.0,0.008092627782995502,0.0005684792553852883,0.00857134535908699,0.00011740066452661887,104.76324105262756,0.5143244923760025,698.4216070175171,3.428829949173381,559.7067946666666,0.7514220664124279,nan,nan,5000.0,0.0,0.007298666052520275
case9,SPINN,matched,3,407,True,427.0,0.0,1.0000591675440471,3.068670075605466e-05,1.0010903875033061,0.0014730262722547499,25.387359937032063,0.7258557467175732,169.2490662468804,4.839038311450497,82.75063466666667,0.01107888289595,nan,nan,5000.0,0.0,1.000019371509552
case9,SPINN,rich,3,,,50307.0,0.0,1.0010863542556763,7.71809188669029e-05,1.3821356296539307,0.22666015751609583,66.4902130762736,0.5435673502927266,443.2680871751573,3.623782335284856,373.1584,6.698685116034044,nan,nan,5000.0,0.0,1.0009832382202148
case9,SVSNN,best,3,,,407.0,0.0,0.0003399946144782007,2.203287584726323e-05,0.0005219868423106769,5.464262961960897e-06,19.286720275878906,0.3151922201384317,128.57813517252606,2.101281467589554,88.655616,0.0,nan,nan,5000.0,0.0,0.0003093715786235407
