# iteration  l2_NN  l2_FF  l2_ST_FF
3.030000e+04 1.000014e+00 1.000012e+00 2.696092e-03
3.040000e+04 1.000160e+00 1.000115e+00 2.269527e-03
3.050000e+04 1.000040e+00 1.000129e+00 2.040436e-03
3.060000e+04 1.000016e+00 1.000000e+00 2.350729e-03
3.070000e+04 1.000053e+00 1.000033e+00 2.932516e-03
3.080000e+04 1.000051e+00 1.000000e+00 2.286298e-03
3.090000e+04 1.000007e+00 1.000008e+00 2.156473e-03
3.100000e+04 1.000006e+00 1.000013e+00 2.475808e-03
3.110000e+04 1.000003e+00 1.000009e+00 2.250579e-03
3.120000e+04 1.000144e+00 1.000079e+00 2.411602e-03
3.130000e+04 1.000024e+00 1.000019e+00 2.179487e-03
3.140000e+04 1.000004e+00 1.000013e+00 1.910488e-03
3.150000e+04 1.000023e+00 1.000001e+00 2.380304e-03
3.160000e+04 1.000390e+00 1.000167e+00 2.465071e-03
3.170000e+04 1.000031e+00 1.000000e+00 2.464150e-03
3.180000e+04 1.000002e+00 1.000011e+00 1.964134e-03
3.190000e+04 1.000045e+00 1.000005e+00 2.008852e-03
3.200000e+04 1.000040e+00 1.000007e+00 1.891274e-03
3.210000e+04 1.000135e+00 1.000070e+00 1.906579e-03
3.220000e+04 1.000223e+00 1.000146e+00 2.175656e-03
3.230000e+04 1.000001e+00 1.000002e+00 1.954446e-03
3.240000e+04 1.000037e+00 1.000008e+00 1.885477e-03
3.250000e+04 1.000229e+00 1.000135e+00 2.022874e-03
3.260000e+04 1.000113e+00 1.000073e+00 2.210983e-03
3.270000e+04 1.000163e+00 1.000074e+00 2.877228e-03
3.280000e+04 1.000075e+00 1.000126e+00 1.839312e-03
3.290000e+04 1.000001e+00 1.000002e+00 2.013940e-03
3.300000e+04 1.000019e+00 1.000015e+00 2.406482e-03
3.310000e+04 1.000218e+00 1.000153e+00 1.986053e-03
3.320000e+04 1.000077e+00 1.000070e+00 1.739536e-03
3.330000e+04 1.000116e+00 1.000051e+00 1.573169e-03
3.340000e+04 1.000277e+00 1.000203e+00 2.053831e-03
3.350000e+04 1.000001e+00 1.000000e+00 2.317040e-03
3.360000e+04 1.000007e+00 1.000015e+00 2.003121e-03
3.370000e+04 1.000015e+00 1.000002e+00 1.853835e-03
3.380000e+04 1.000062e+00 1.000057e+00 1.939069e-03
3.390000e+04 1.000003e+00 1.000002e+00 1.677759e-03
3.400000e+04 1.000049e+00 1.000004e+00 1.925688e-03
3.410000e+04 1.000008e+00 1.000000e+00 1.980553e-03
3.420000e+04 1.000002e+00 1.000004e+00 1.775260e-03
3.430000e+04 1.000164e+00 1.000098e+00 1.638628e-03
3.440000e+04 1.000001e+00 1.000003e+00 2.467146e-03
3.450000e+04 1.000008e+00 1.000007e+00 1.968789e-03
3.460000e+04 1.000003e+00 1.000003e+00 1.707875e-03
3.470000e+04 1.000014e+00 1.000003e+00 1.639152e-03
3.480000e+04 1.000092e+00 1.000047e+00 1.942493e-03
3.490000e+04 1.000078e+00 1.000058e+00 2.758174e-03
3.500000e+04 1.000013e+00 1.000001e+00 1.568716e-03
3.510000e+04 1.000002e+00 1.000000e+00 1.945194e-03
3.520000e+04 1.000453e+00 1.000187e+00 2.153929e-03
3.530000e+04 1.000007e+00 1.000003e+00 1.672844e-03
3.540000e+04 1.000179e+00 1.000142e+00 1.613794e-03
3.550000e+04 1.000027e+00 1.000028e+00 1.704701e-03
3.560000e+04 1.000006e+00 1.000005e+00 1.684765e-03
3.570000e+04 1.000005e+00 1.000002e+00 1.532864e-03
3.580000e+04 1.000000e+00 1.000000e+00 1.594303e-03
3.590000e+04 1.000024e+00 1.000027e+00 1.705255e-03
3.600000e+04 1.000188e+00 1.000141e+00 1.443111e-03
3.610000e+04 1.000008e+00 1.000002e+00 1.660911e-03
3.620000e+04 1.000008e+00 1.000005e+00 1.627467e-03
3.630000e+04 1.000023e+00 1.000009e+00 1.727451e-03
3.640000e+04 1.000011e+00 1.000004e+00 1.616495e-03
3.650000e+04 1.000021e+00 1.000020e+00 1.521738e-03
3.660000e+04 1.000102e+00 1.000067e+00 1.637399e-03
3.670000e+04 1.000001e+00 1.000001e+00 1.571573e-03
3.680000e+04 1.000025e+00 1.000011e+00 1.608202e-03
3.690000e+04 1.000009e+00 1.000002e+00 1.545804e-03
3.700000e+04 1.000025e+00 1.000012e+00 1.929703e-03
3.710000e+04 1.000013e+00 1.000001e+00 1.790668e-03
3.720000e+04 1.000022e+00 1.000020e+00 1.852971e-03
3.730000e+04 1.000017e+00 1.000019e+00 1.600182e-03
3.740000e+04 1.000001e+00 1.000000e+00 1.963776e-03
3.750000e+04 1.000010e+00 1.000009e+00 1.589615e-03
3.760000e+04 1.000014e+00 1.000007e+00 1.626028e-03
3.770000e+04 1.000009e+00 1.000008e+00 1.586806e-03
3.780000e+04 1.000003e+00 1.000000e+00 1.781520e-03
3.790000e+04 1.000101e+00 1.000073e+00 1.667394e-03
3.800000e+04 1.000001e+00 1.000002e+00 1.812910e-03
3.810000e+04 1.000005e+00 1.000004e+00 1.922763e-03
3.820000e+04 1.000011e+00 1.000003e+00 1.630559e-03
3.830000e+04 1.000018e+00 1.000010e+00 1.482123e-03
